------------train
------------train
1
0
it: 23400/80000, lr: 0.007408, loss: 3.1308, eta: 9:24:21, time: 64.3983
it: 23500/80000, lr: 0.007396, loss: 3.1340, eta: 9:23:20, time: 59.3126
it: 23600/80000, lr: 0.007384, loss: 3.1851, eta: 9:22:13, time: 56.8466
it: 23700/80000, lr: 0.007372, loss: 3.1738, eta: 9:21:23, time: 63.8219
it: 23800/80000, lr: 0.007360, loss: 3.2344, eta: 9:20:26, time: 60.8936
it: 23900/80000, lr: 0.007349, loss: 3.1042, eta: 9:19:26, time: 60.0336
it: 24000/80000, lr: 0.007337, loss: 3.1445, eta: 9:18:22, time: 57.8131
it: 24100/80000, lr: 0.007325, loss: 3.1366, eta: 9:17:35, time: 65.3774
it: 24200/80000, lr: 0.007313, loss: 3.1512, eta: 9:16:44, time: 63.8255
it: 24300/80000, lr: 0.007302, loss: 3.2036, eta: 9:15:42, time: 58.7453
it: 24400/80000, lr: 0.007290, loss: 3.1027, eta: 9:14:50, time: 63.4506
it: 24500/80000, lr: 0.007278, loss: 3.0805, eta: 9:13:52, time: 60.8207
it: 24600/80000, lr: 0.007266, loss: 3.1376, eta: 9:12:55, time: 60.9771
it: 24700/80000, lr: 0.007254, loss: 3.1025, eta: 9:12:00, time: 62.3067
it: 24800/80000, lr: 0.007242, loss: 3.1819, eta: 9:11:13, time: 65.4011
it: 24900/80000, lr: 0.007231, loss: 3.0663, eta: 9:10:13, time: 60.1835
it: 25000/80000, lr: 0.007219, loss: 3.2290, eta: 9:09:24, time: 64.6228
it: 25100/80000, lr: 0.007207, loss: 3.0919, eta: 9:08:49, time: 71.3048
it: 25200/80000, lr: 0.007195, loss: 3.0703, eta: 9:08:08, time: 69.0140
it: 25300/80000, lr: 0.007183, loss: 3.1077, eta: 9:07:33, time: 71.2658
it: 25400/80000, lr: 0.007172, loss: 3.1180, eta: 9:07:15, time: 79.9663
it: 25500/80000, lr: 0.007160, loss: 3.1383, eta: 9:06:16, time: 60.4440
it: 25600/80000, lr: 0.007148, loss: 3.0673, eta: 9:06:08, time: 84.5213
it: 25700/80000, lr: 0.007136, loss: 3.0986, eta: 9:06:45, time: 106.4091
it: 25800/80000, lr: 0.007124, loss: 3.1100, eta: 9:05:59, time: 67.4488
it: 25900/80000, lr: 0.007112, loss: 3.1560, eta: 9:04:54, time: 58.2133
it: 26000/80000, lr: 0.007101, loss: 3.1629, eta: 9:03:47, time: 57.3566
it: 26100/80000, lr: 0.007089, loss: 3.0959, eta: 9:02:52, time: 62.9597
